IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.26.9.23,4,4,0.00,68.10,6.45,HKG
104.26.4.116,4,4,0.00,67.16,6.41,HKG
172.67.73.99,4,4,0.00,67.62,6.33,HKG
104.26.13.177,4,4,0.00,69.04,6.31,HKG
104.26.3.214,4,4,0.00,66.47,6.29,HKG
172.67.69.98,4,4,0.00,66.57,6.27,HKG
104.26.15.254,4,4,0.00,68.64,6.24,HKG
172.67.73.86,4,4,0.00,106.05,6.21,HKG
104.20.16.97,4,4,0.00,68.72,6.19,HKG
172.67.66.143,4,4,0.00,66.74,6.15,HKG
104.20.19.6,4,4,0.00,68.15,6.14,HKG
104.20.16.234,4,4,0.00,68.14,6.09,HKG
172.67.64.56,4,4,0.00,67.90,6.09,HKG
172.67.64.16,4,4,0.00,70.18,6.08,HKG
104.20.19.116,4,4,0.00,68.71,6.01,HKG
104.26.12.23,4,4,0.00,71.13,5.97,HKG
104.26.4.182,4,4,0.00,70.05,5.91,HKG
104.26.5.82,4,4,0.00,70.01,5.88,HKG
104.26.14.123,4,4,0.00,70.77,5.86,HKG
104.26.0.61,4,4,0.00,68.56,5.86,HKG
104.26.12.20,4,4,0.00,70.42,5.84,HKG
172.67.74.119,4,4,0.00,68.41,5.83,HKG
104.26.5.60,4,4,0.00,69.80,5.68,HKG
104.20.18.94,4,4,0.00,68.90,5.52,HKG
172.67.72.175,4,4,0.00,67.33,5.50,HKG
104.20.18.213,4,4,0.00,70.93,5.46,HKG
104.26.3.13,4,4,0.00,70.43,5.46,HKG
172.67.73.64,4,4,0.00,67.98,5.39,HKG
104.26.5.119,4,4,0.00,67.79,5.32,HKG
172.67.73.71,4,4,0.00,68.38,4.98,HKG
